team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend,lat,lon
AFC Bournemouth,2019/2020,9,22,7,40,65,-25,34,19,48100108.57142857,54972000,91815000.0,50.735278,-1.838333
AFC Bournemouth,2022/2023,11,21,6,37,71,-34,39,15,37535800.0,83254000,,50.735278,-1.838333
AFC Bournemouth,2023/2024,13,16,9,54,67,-13,48,11,51107287.401574805,127685000,83254000.0,50.735278,-1.838333
Norwich City FC,2015/2016,9,22,7,39,67,-28,34,19,38944392.0,50854000,,52.622128,1.308653
Norwich City FC,2019/2020,5,27,6,26,75,-49,21,20,29745969.523809522,4350000,,52.622128,1.308653
Norwich City FC,2021/2022,5,26,7,23,84,-61,22,20,34267091.74311926,64105000,,52.622128,1.308653
Watford FC,2015/2016,12,17,9,40,50,-10,45,13,34607032.0,83058000,,51.649836,-0.401486
Watford FC,2016/2017,11,20,7,40,68,-28,40,16,50085330.0,70739000,83058000.0,51.649836,-0.401486
Watford FC,2017/2018,11,19,8,44,64,-20,41,14,54338860.78431372,73739000,70739000.0,51.649836,-0.401486
Watford FC,2018/2019,14,16,8,52,59,-7,50,11,56644528.84615385,30573000,73739000.0,51.649836,-0.401486
Watford FC,2019/2020,8,20,10,36,64,-28,34,18,65500196.19047619,36330000,30573000.0,51.649836,-0.401486
Watford FC,2021/2022,6,27,5,34,77,-43,23,19,45273693.57798165,43875000,,51.649836,-0.401486
Middlesbrough FC,2016/2017,5,20,13,27,53,-26,28,19,46352605.0,48047000,,54.578333,-1.216944
Brighton & Hove Albion FC,2017/2018,9,16,13,34,54,-20,40,15,46660849.01960784,70155000,,50.861822,-0.083278
Brighton & Hove Albion FC,2018/2019,9,20,9,35,60,-25,36,17,49102703.84615385,90878000,70155000.0,50.861822,-0.083278
Brighton & Hove Albion FC,2019/2020,9,15,14,39,54,-15,41,15,55335000.95238095,57483000,90878000.0,50.861822,-0.083278
Brighton & Hove Albion FC,2020/2021,9,15,14,40,46,-6,41,16,58029411.320754714,50568000,57483000.0,50.861822,-0.083278
Brighton & Hove Albion FC,2021/2022,12,11,15,42,44,-2,51,9,50842643.11926605,75430000,50568000.0,50.861822,-0.083278
Brighton & Hove Albion FC,2022/2023,18,12,8,72,53,19,62,6,37485008.40336134,56038000,75430000.0,50.861822,-0.083278
Brighton & Hove Albion FC,2023/2024,12,14,12,55,62,-7,48,13,58159074.8031496,98066000,56038000.0,50.861822,-0.083278
Huddersfield Town AFC,2017/2018,9,19,10,28,58,-30,37,16,29939218.62745098,56929000,,53.654221,-1.769226
Huddersfield Town AFC,2018/2019,3,28,7,22,76,-54,16,20,40266257.69230769,50772000,56929000.0,53.654221,-1.769226
Fulham FC,2018/2019,7,26,5,34,81,-47,26,19,58388656.73076923,116564000,,51.475,-0.221667
Fulham FC,2020/2021,5,20,13,27,53,-26,28,18,58693112.26415094,37490000,,51.475,-0.221667
Fulham FC,2022/2023,15,16,7,55,53,2,52,10,53078362.18487395,76243000,,51.475,-0.221667
Fulham FC,2023/2024,13,17,8,55,61,-6,47,14,62157511.81102362,68651000,76243000.0,51.475,-0.221667
Wolverhampton Wanderers FC,2018/2019,16,13,9,47,46,1,57,7,42642213.46153846,117866000,,52.590278,-2.130278
Wolverhampton Wanderers FC,2019/2020,15,9,14,51,40,11,59,7,61479546.666666664,97464000,117866000.0,52.590278,-2.130278
Wolverhampton Wanderers FC,2020/2021,12,17,9,36,52,-16,45,12,57956167.9245283,87851000,97464000.0,52.590278,-2.130278
Wolverhampton Wanderers FC,2021/2022,15,17,6,38,43,-5,51,10,62658879.816513754,37921000,87851000.0,52.590278,-2.130278
Wolverhampton Wanderers FC,2022/2023,11,19,8,31,58,-27,41,13,50970466.38655462,179939000,37921000.0,52.590278,-2.130278
Wolverhampton Wanderers FC,2023/2024,13,18,7,50,65,-15,46,15,50162201.57480315,94335000,179939000.0,52.590278,-2.130278
